fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Nazim Sadykhov,Matheus Camilo,Pinnacle,Over,2.5,2.36,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,Pinnacle,Under,2.5,1.6,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,Coolbet,Over,2.5,2.36,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,Coolbet,Under,2.5,1.62,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,PMU (FR),Over,1.5,1.66,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,PMU (FR),Under,1.5,2.15,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,BetOnline.ag,Over,1.5,1.47,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,BetOnline.ag,Under,1.5,2.83,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,1xBet,Over,2.5,1.72,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,1xBet,Under,2.5,2.05,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,Pinnacle,Over,1.5,1.43,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,Pinnacle,Under,1.5,2.88,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,Coolbet,Over,1.5,1.45,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,Coolbet,Under,1.5,2.83,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,PMU (FR),Over,2.5,1.83,2026-06-23,2026-06-27
Shara Magomedov,Michel Pereira,PMU (FR),Under,2.5,1.89,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,1xBet,Over,1.5,1.73,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,1xBet,Under,1.5,2.03,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,BetOnline.ag,Over,1.5,1.76,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,BetOnline.ag,Under,1.5,2.12,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,Pinnacle,Over,1.5,1.74,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,Pinnacle,Under,1.5,2.12,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,Coolbet,Over,1.5,1.75,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,Coolbet,Under,1.5,2.12,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,PMU (FR),Over,1.5,1.77,2026-06-23,2026-06-27
Rafael Fiziev,Manuel Torres,PMU (FR),Under,1.5,1.97,2026-06-23,2026-06-27
Brandon Royval,Lone'er Kavanagh,1xBet,Over,2.5,1.5,2026-06-23,2026-07-11
Brandon Royval,Lone'er Kavanagh,1xBet,Under,2.5,2.48,2026-06-23,2026-07-11
Gable Steveson,Elisha Ellison,1xBet,Over,0.5,1.45,2026-06-23,2026-07-12
Gable Steveson,Elisha Ellison,1xBet,Under,0.5,2.65,2026-06-23,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Over,2.5,1.4,2026-06-23,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Under,2.5,2.8,2026-06-23,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Over,2.5,2.16,2026-06-23,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Under,2.5,1.65,2026-06-23,2026-07-12
Conor McGregor,Max Holloway,1xBet,Over,2.5,2.05,2026-06-23,2026-07-12
Conor McGregor,Max Holloway,1xBet,Under,2.5,1.77,2026-06-23,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Over,2.5,1.73,2026-06-23,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,2.5,2.04,2026-06-23,2026-07-12
Asu Almabaev,Charles Johnson,BetOnline.ag,Over,2.5,1.36,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,BetOnline.ag,Under,2.5,3.3,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,Coolbet,Over,2.5,1.41,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,Coolbet,Under,2.5,2.85,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,BetAnything,Over,2.5,1.4,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,BetAnything,Under,2.5,3.0,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,PMU (FR),Over,2.5,1.02,2026-06-27,2026-06-27
Asu Almabaev,Charles Johnson,PMU (FR),Under,2.5,6.75,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetOnline.ag,Over,2.5,1.95,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetOnline.ag,Under,2.5,1.87,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,1xBet,Over,2.5,2.25,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,1xBet,Under,2.5,1.6,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,Pinnacle,Over,2.5,2.01,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,Pinnacle,Under,2.5,1.85,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,Coolbet,Over,2.5,1.97,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,Coolbet,Under,2.5,1.87,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetAnything,Over,2.5,1.87,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetAnything,Under,2.5,1.87,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,PMU (FR),Over,2.5,2.12,2026-06-27,2026-06-27
Nazim Sadykhov,Matheus Camilo,PMU (FR),Under,2.5,1.68,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,BetOnline.ag,Over,1.5,1.32,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,BetOnline.ag,Under,1.5,3.52,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,1xBet,Over,2.5,1.82,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,1xBet,Under,2.5,1.92,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,Pinnacle,Over,1.5,1.38,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,Pinnacle,Under,1.5,3.18,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,Coolbet,Over,1.5,1.38,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,Coolbet,Under,1.5,3.2,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,BetAnything,Over,2.5,1.77,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,BetAnything,Under,2.5,2.0,2026-06-27,2026-06-27
Shara Magomedov,Michel Pereira,PMU (FR),Over,2.5,1.71,2026-06-27,2026-06-27
